"StateFIPS","State","Year","Value","Data Comment","Number of CWS",,"Concentration"
"04","Arizona","2006","48%","","137",,"Concentration: (0-<=60)"
"04","Arizona","2006","1%","","3",,"Concentration: (>60)"
"04","Arizona","2006","51%","","144",,"Concentration: (not-detected)"
"04","Arizona","2007","50%","","160",,"Concentration: (0-<=60)"
"04","Arizona","2007","1%","","3",,"Concentration: (>60)"
"04","Arizona","2007","49%","","159",,"Concentration: (not-detected)"
"04","Arizona","2008","45%","","163",,"Concentration: (0-<=60)"
"04","Arizona","2008","2%","","6",,"Concentration: (>60)"
"04","Arizona","2008","53%","","191",,"Concentration: (not-detected)"
"04","Arizona","2009","42%","","149",,"Concentration: (0-<=60)"
"04","Arizona","2009","2%","","6",,"Concentration: (>60)"
"04","Arizona","2009","57%","","204",,"Concentration: (not-detected)"
"04","Arizona","2010","40%","","147",,"Concentration: (0-<=60)"
"04","Arizona","2010","1%","","4",,"Concentration: (>60)"
"04","Arizona","2010","59%","","220",,"Concentration: (not-detected)"
"04","Arizona","2011","40%","","139",,"Concentration: (0-<=60)"
"04","Arizona","2011","2%","","6",,"Concentration: (>60)"
"04","Arizona","2011","58%","","202",,"Concentration: (not-detected)"
"04","Arizona","2012","48%","","173",,"Concentration: (0-<=60)"
"04","Arizona","2012","1%","","3",,"Concentration: (>60)"
"04","Arizona","2012","52%","","188",,"Concentration: (not-detected)"
"04","Arizona","2013","54%","","203",,"Concentration: (0-<=60)"
"04","Arizona","2013","1%","","4",,"Concentration: (>60)"
"04","Arizona","2013","45%","","167",,"Concentration: (not-detected)"
"04","Arizona","2014","51%","","191",,"Concentration: (0-<=60)"
"04","Arizona","2014","1%","","4",,"Concentration: (>60)"
"04","Arizona","2014","48%","","183",,"Concentration: (not-detected)"
"04","Arizona","2015","40%","","149",,"Concentration: (0-<=60)"
"04","Arizona","2015","1%","","2",,"Concentration: (>60)"
"04","Arizona","2015","59%","","219",,"Concentration: (not-detected)"
"04","Arizona","2016","42%","","174",,"Concentration: (0-<=60)"
"04","Arizona","2016","0%","","2",,"Concentration: (>60)"
"04","Arizona","2016","57%","","234",,"Concentration: (not-detected)"
"04","Arizona","2017","42%","","172",,"Concentration: (0-<=60)"
"04","Arizona","2017","1%","","4",,"Concentration: (>60)"
"04","Arizona","2017","57%","","234",,"Concentration: (not-detected)"
"04","Arizona","2018","39%","","164",,"Concentration: (0-<=60)"
"04","Arizona","2018","0%","","1",,"Concentration: (>60)"
"04","Arizona","2018","61%","","253",,"Concentration: (not-detected)"
"04","Arizona","2019","37%","","158",,"Concentration: (0-<=60)"
"04","Arizona","2019","1%","","5",,"Concentration: (>60)"
"04","Arizona","2019","62%","","265",,"Concentration: (not-detected)"
"04","Arizona","2020","38%","","159",,"Concentration: (0-<=60)"
"04","Arizona","2020","1%","","5",,"Concentration: (>60)"
"04","Arizona","2020","61%","","253",,"Concentration: (not-detected)"
"04","Arizona","2021","34%","","143",,"Concentration: (0-<=60)"
"04","Arizona","2021","1%","","3",,"Concentration: (>60)"
"04","Arizona","2021","66%","","278",,"Concentration: (not-detected)"
"04","Arizona","2022","37%","","155",,"Concentration: (0-<=60)"
"04","Arizona","2022","0%","","2",,"Concentration: (>60)"
"04","Arizona","2022","63%","","262",,"Concentration: (not-detected)"
"04","Arizona","2023","31%","","128",,"Concentration: (0-<=60)"
"04","Arizona","2023","0%","","2",,"Concentration: (>60)"
"04","Arizona","2023","68%","","282",,"Concentration: (not-detected)"
"08","Colorado","2002","0%","","0",,"Concentration: (0-<=60)"
"08","Colorado","2002","0%","","0",,"Concentration: (>60)"
"08","Colorado","2002","100%","","2",,"Concentration: (not-detected)"
"08","Colorado","2003","0%","","0",,"Concentration: (0-<=60)"
"08","Colorado","2003","0%","","0",,"Concentration: (>60)"
"08","Colorado","2003","100%","","3",,"Concentration: (not-detected)"
"08","Colorado","2004","59%","","270",,"Concentration: (0-<=60)"
"08","Colorado","2004","7%","","32",,"Concentration: (>60)"
"08","Colorado","2004","33%","","152",,"Concentration: (not-detected)"
"08","Colorado","2005","63%","","393",,"Concentration: (0-<=60)"
"08","Colorado","2005","7%","","43",,"Concentration: (>60)"
"08","Colorado","2005","30%","","188",,"Concentration: (not-detected)"
"08","Colorado","2006","61%","","381",,"Concentration: (0-<=60)"
"08","Colorado","2006","4%","","27",,"Concentration: (>60)"
"08","Colorado","2006","35%","","219",,"Concentration: (not-detected)"
"08","Colorado","2007","58%","","363",,"Concentration: (0-<=60)"
"08","Colorado","2007","5%","","30",,"Concentration: (>60)"
"08","Colorado","2007","38%","","236",,"Concentration: (not-detected)"
"08","Colorado","2008","67%","","299",,"Concentration: (0-<=60)"
"08","Colorado","2008","6%","","27",,"Concentration: (>60)"
"08","Colorado","2008","26%","","117",,"Concentration: (not-detected)"
"08","Colorado","2009","60%","","373",,"Concentration: (0-<=60)"
"08","Colorado","2009","5%","","33",,"Concentration: (>60)"
"08","Colorado","2009","35%","","215",,"Concentration: (not-detected)"
"08","Colorado","2010","75%","","240",,"Concentration: (0-<=60)"
"08","Colorado","2010","12%","","38",,"Concentration: (>60)"
"08","Colorado","2010","13%","","41",,"Concentration: (not-detected)"
"08","Colorado","2011","77%","","229",,"Concentration: (0-<=60)"
"08","Colorado","2011","10%","","29",,"Concentration: (>60)"
"08","Colorado","2011","13%","","39",,"Concentration: (not-detected)"
"08","Colorado","2012","68%","","395",,"Concentration: (0-<=60)"
"08","Colorado","2012","5%","","28",,"Concentration: (>60)"
"08","Colorado","2012","27%","","158",,"Concentration: (not-detected)"
"08","Colorado","2013","74%","","350",,"Concentration: (0-<=60)"
"08","Colorado","2013","7%","","34",,"Concentration: (>60)"
"08","Colorado","2013","19%","","89",,"Concentration: (not-detected)"
"08","Colorado","2014","71%","","493",,"Concentration: (0-<=60)"
"08","Colorado","2014","4%","","31",,"Concentration: (>60)"
"08","Colorado","2014","24%","","168",,"Concentration: (not-detected)"
"08","Colorado","2015","74%","","410",,"Concentration: (0-<=60)"
"08","Colorado","2015","5%","","28",,"Concentration: (>60)"
"08","Colorado","2015","21%","","119",,"Concentration: (not-detected)"
"08","Colorado","2016","83%","","416",,"Concentration: (0-<=60)"
"08","Colorado","2016","4%","","22",,"Concentration: (>60)"
"08","Colorado","2016","13%","","65",,"Concentration: (not-detected)"
"08","Colorado","2017","71%","","507",,"Concentration: (0-<=60)"
"08","Colorado","2017","4%","","27",,"Concentration: (>60)"
"08","Colorado","2017","25%","","182",,"Concentration: (not-detected)"
"08","Colorado","2018","77%","","421",,"Concentration: (0-<=60)"
"08","Colorado","2018","3%","","19",,"Concentration: (>60)"
"08","Colorado","2018","20%","","110",,"Concentration: (not-detected)"
"08","Colorado","2019","79%","","428",,"Concentration: (0-<=60)"
"08","Colorado","2019","6%","","34",,"Concentration: (>60)"
"08","Colorado","2019","15%","","80",,"Concentration: (not-detected)"
"08","Colorado","2020","70%","","528",,"Concentration: (0-<=60)"
"08","Colorado","2020","3%","","23",,"Concentration: (>60)"
"08","Colorado","2020","27%","","202",,"Concentration: (not-detected)"
"08","Colorado","2021","75%","","453",,"Concentration: (0-<=60)"
"08","Colorado","2021","6%","","37",,"Concentration: (>60)"
"08","Colorado","2021","18%","","111",,"Concentration: (not-detected)"
"08","Colorado","2022","80%","","474",,"Concentration: (0-<=60)"
"08","Colorado","2022","5%","","30",,"Concentration: (>60)"
"08","Colorado","2022","15%","","90",,"Concentration: (not-detected)"
"08","Colorado","2023","73%","","563",,"Concentration: (0-<=60)"
"08","Colorado","2023","4%","","32",,"Concentration: (>60)"
"08","Colorado","2023","23%","","173",,"Concentration: (not-detected)"
"09","Connecticut","2000","100%","","1",,"Concentration: (0-<=60)"
"09","Connecticut","2000","0%","","0",,"Concentration: (>60)"
"09","Connecticut","2000","0%","","0",,"Concentration: (not-detected)"
"09","Connecticut","2002","100%","","1",,"Concentration: (0-<=60)"
"09","Connecticut","2002","0%","","0",,"Concentration: (>60)"
"09","Connecticut","2002","0%","","0",,"Concentration: (not-detected)"
"09","Connecticut","2003","95%","","18",,"Concentration: (0-<=60)"
"09","Connecticut","2003","5%","","1",,"Concentration: (>60)"
"09","Connecticut","2003","0%","","0",,"Concentration: (not-detected)"
"09","Connecticut","2004","85%","","139",,"Concentration: (0-<=60)"
"09","Connecticut","2004","8%","","13",,"Concentration: (>60)"
"09","Connecticut","2004","7%","","11",,"Concentration: (not-detected)"
"09","Connecticut","2005","85%","","153",,"Concentration: (0-<=60)"
"09","Connecticut","2005","6%","","11",,"Concentration: (>60)"
"09","Connecticut","2005","8%","","15",,"Concentration: (not-detected)"
"09","Connecticut","2006","79%","","150",,"Concentration: (0-<=60)"
"09","Connecticut","2006","8%","","16",,"Concentration: (>60)"
"09","Connecticut","2006","12%","","23",,"Concentration: (not-detected)"
"09","Connecticut","2007","85%","","169",,"Concentration: (0-<=60)"
"09","Connecticut","2007","6%","","12",,"Concentration: (>60)"
"09","Connecticut","2007","9%","","17",,"Concentration: (not-detected)"
"09","Connecticut","2008","89%","","180",,"Concentration: (0-<=60)"
"09","Connecticut","2008","6%","","12",,"Concentration: (>60)"
"09","Connecticut","2008","5%","","10",,"Concentration: (not-detected)"
"09","Connecticut","2009","75%","","155",,"Concentration: (0-<=60)"
"09","Connecticut","2009","6%","","13",,"Concentration: (>60)"
"09","Connecticut","2009","19%","","39",,"Concentration: (not-detected)"
"09","Connecticut","2010","77%","","161",,"Concentration: (0-<=60)"
"09","Connecticut","2010","5%","","11",,"Concentration: (>60)"
"09","Connecticut","2010","18%","","37",,"Concentration: (not-detected)"
"09","Connecticut","2011","76%","","162",,"Concentration: (0-<=60)"
"09","Connecticut","2011","7%","","14",,"Concentration: (>60)"
"09","Connecticut","2011","17%","","37",,"Concentration: (not-detected)"
"09","Connecticut","2012","75%","","159",,"Concentration: (0-<=60)"
"09","Connecticut","2012","6%","","12",,"Concentration: (>60)"
"09","Connecticut","2012","19%","","41",,"Concentration: (not-detected)"
"09","Connecticut","2013","75%","","162",,"Concentration: (0-<=60)"
"09","Connecticut","2013","6%","","13",,"Concentration: (>60)"
"09","Connecticut","2013","19%","","41",,"Concentration: (not-detected)"
"09","Connecticut","2014","79%","","174",,"Concentration: (0-<=60)"
"09","Connecticut","2014","4%","","8",,"Concentration: (>60)"
"09","Connecticut","2014","17%","","37",,"Concentration: (not-detected)"
"09","Connecticut","2015","77%","","168",,"Concentration: (0-<=60)"
"09","Connecticut","2015","2%","","4",,"Concentration: (>60)"
"09","Connecticut","2015","21%","","45",,"Concentration: (not-detected)"
"09","Connecticut","2016","71%","","160",,"Concentration: (0-<=60)"
"09","Connecticut","2016","2%","","5",,"Concentration: (>60)"
"09","Connecticut","2016","27%","","60",,"Concentration: (not-detected)"
"09","Connecticut","2017","72%","","151",,"Concentration: (0-<=60)"
"09","Connecticut","2017","5%","","11",,"Concentration: (>60)"
"09","Connecticut","2017","23%","","49",,"Concentration: (not-detected)"
"09","Connecticut","2018","78%","","166",,"Concentration: (0-<=60)"
"09","Connecticut","2018","4%","","9",,"Concentration: (>60)"
"09","Connecticut","2018","17%","","37",,"Concentration: (not-detected)"
"09","Connecticut","2019","83%","","176",,"Concentration: (0-<=60)"
"09","Connecticut","2019","2%","","4",,"Concentration: (>60)"
"09","Connecticut","2019","15%","","32",,"Concentration: (not-detected)"
"09","Connecticut","2020","78%","","167",,"Concentration: (0-<=60)"
"09","Connecticut","2020","0%","","1",,"Concentration: (>60)"
"09","Connecticut","2020","22%","","46",,"Concentration: (not-detected)"
"09","Connecticut","2021","77%","","171",,"Concentration: (0-<=60)"
"09","Connecticut","2021","4%","","9",,"Concentration: (>60)"
"09","Connecticut","2021","19%","","42",,"Concentration: (not-detected)"
"09","Connecticut","2023","77%","","174",,"Concentration: (0-<=60)"
"09","Connecticut","2023","2%","","5",,"Concentration: (>60)"
"09","Connecticut","2023","21%","","47",,"Concentration: (not-detected)"
"10","Delaware","2004","63%","","71",,"Concentration: (0-<=60)"
"10","Delaware","2004","6%","","7",,"Concentration: (>60)"
"10","Delaware","2004","31%","","35",,"Concentration: (not-detected)"
"10","Delaware","2005","89%","","34",,"Concentration: (0-<=60)"
"10","Delaware","2005","8%","","3",,"Concentration: (>60)"
"10","Delaware","2005","3%","","1",,"Concentration: (not-detected)"
"10","Delaware","2006","96%","","24",,"Concentration: (0-<=60)"
"10","Delaware","2006","4%","","1",,"Concentration: (>60)"
"10","Delaware","2006","0%","","0",,"Concentration: (not-detected)"
"10","Delaware","2007","68%","","82",,"Concentration: (0-<=60)"
"10","Delaware","2007","3%","","4",,"Concentration: (>60)"
"10","Delaware","2007","28%","","34",,"Concentration: (not-detected)"
"10","Delaware","2008","84%","","37",,"Concentration: (0-<=60)"
"10","Delaware","2008","7%","","3",,"Concentration: (>60)"
"10","Delaware","2008","9%","","4",,"Concentration: (not-detected)"
"10","Delaware","2009","87%","","34",,"Concentration: (0-<=60)"
"10","Delaware","2009","8%","","3",,"Concentration: (>60)"
"10","Delaware","2009","5%","","2",,"Concentration: (not-detected)"
"10","Delaware","2010","89%","","101",,"Concentration: (0-<=60)"
"10","Delaware","2010","4%","","5",,"Concentration: (>60)"
"10","Delaware","2010","6%","","7",,"Concentration: (not-detected)"
"10","Delaware","2011","76%","","25",,"Concentration: (0-<=60)"
"10","Delaware","2011","18%","","6",,"Concentration: (>60)"
"10","Delaware","2011","6%","","2",,"Concentration: (not-detected)"
"10","Delaware","2012","84%","","32",,"Concentration: (0-<=60)"
"10","Delaware","2012","11%","","4",,"Concentration: (>60)"
"10","Delaware","2012","5%","","2",,"Concentration: (not-detected)"
"10","Delaware","2013","68%","","36",,"Concentration: (0-<=60)"
"10","Delaware","2013","4%","","2",,"Concentration: (>60)"
"10","Delaware","2013","28%","","15",,"Concentration: (not-detected)"
"10","Delaware","2014","74%","","70",,"Concentration: (0-<=60)"
"10","Delaware","2014","1%","","1",,"Concentration: (>60)"
"10","Delaware","2014","24%","","23",,"Concentration: (not-detected)"
"10","Delaware","2015","73%","","60",,"Concentration: (0-<=60)"
"10","Delaware","2015","4%","","3",,"Concentration: (>60)"
"10","Delaware","2015","23%","","19",,"Concentration: (not-detected)"
"10","Delaware","2016","60%","","54",,"Concentration: (0-<=60)"
"10","Delaware","2016","1%","","1",,"Concentration: (>60)"
"10","Delaware","2016","39%","","35",,"Concentration: (not-detected)"
"10","Delaware","2017","83%","","72",,"Concentration: (0-<=60)"
"10","Delaware","2017","2%","","2",,"Concentration: (>60)"
"10","Delaware","2017","15%","","13",,"Concentration: (not-detected)"
"10","Delaware","2018","74%","","64",,"Concentration: (0-<=60)"
"10","Delaware","2018","2%","","2",,"Concentration: (>60)"
"10","Delaware","2018","24%","","21",,"Concentration: (not-detected)"
"10","Delaware","2019","76%","","75",,"Concentration: (0-<=60)"
"10","Delaware","2019","2%","","2",,"Concentration: (>60)"
"10","Delaware","2019","22%","","22",,"Concentration: (not-detected)"
"10","Delaware","2020","49%","","41",,"Concentration: (0-<=60)"
"10","Delaware","2020","1%","","1",,"Concentration: (>60)"
"10","Delaware","2020","50%","","42",,"Concentration: (not-detected)"
"10","Delaware","2021","59%","","52",,"Concentration: (0-<=60)"
"10","Delaware","2021","0%","","0",,"Concentration: (>60)"
"10","Delaware","2021","41%","","36",,"Concentration: (not-detected)"
"10","Delaware","2022","43%","","44",,"Concentration: (0-<=60)"
"10","Delaware","2022","2%","","2",,"Concentration: (>60)"
"10","Delaware","2022","55%","","57",,"Concentration: (not-detected)"
"10","Delaware","2023","56%","","52",,"Concentration: (0-<=60)"
"10","Delaware","2023","1%","","1",,"Concentration: (>60)"
"10","Delaware","2023","43%","","40",,"Concentration: (not-detected)"
"12","Florida","2000","100%","","1",,"Concentration: (0-<=60)"
"12","Florida","2000","0%","","0",,"Concentration: (>60)"
"12","Florida","2000","0%","","0",,"Concentration: (not-detected)"
"12","Florida","2001","100%","","1",,"Concentration: (0-<=60)"
"12","Florida","2001","0%","","0",,"Concentration: (>60)"
"12","Florida","2001","0%","","0",,"Concentration: (not-detected)"
"12","Florida","2002","60%","","3",,"Concentration: (0-<=60)"
"12","Florida","2002","20%","","1",,"Concentration: (>60)"
"12","Florida","2002","20%","","1",,"Concentration: (not-detected)"
"12","Florida","2003","76%","","51",,"Concentration: (0-<=60)"
"12","Florida","2003","19%","","13",,"Concentration: (>60)"
"12","Florida","2003","4%","","3",,"Concentration: (not-detected)"
"12","Florida","2004","67%","","1,162",,"Concentration: (0-<=60)"
"12","Florida","2004","8%","","134",,"Concentration: (>60)"
"12","Florida","2004","25%","","427",,"Concentration: (not-detected)"
"12","Florida","2005","79%","","898",,"Concentration: (0-<=60)"
"12","Florida","2005","10%","","116",,"Concentration: (>60)"
"12","Florida","2005","11%","","127",,"Concentration: (not-detected)"
"12","Florida","2006","71%","","1,069",,"Concentration: (0-<=60)"
"12","Florida","2006","8%","","119",,"Concentration: (>60)"
"12","Florida","2006","21%","","322",,"Concentration: (not-detected)"
"12","Florida","2007","76%","","767",,"Concentration: (0-<=60)"
"12","Florida","2007","12%","","118",,"Concentration: (>60)"
"12","Florida","2007","12%","","118",,"Concentration: (not-detected)"
"12","Florida","2008","80%","","682",,"Concentration: (0-<=60)"
"12","Florida","2008","10%","","89",,"Concentration: (>60)"
"12","Florida","2008","10%","","86",,"Concentration: (not-detected)"
"12","Florida","2009","75%","","1,128",,"Concentration: (0-<=60)"
"12","Florida","2009","7%","","106",,"Concentration: (>60)"
"12","Florida","2009","18%","","276",,"Concentration: (not-detected)"
"12","Florida","2010","82%","","561",,"Concentration: (0-<=60)"
"12","Florida","2010","12%","","83",,"Concentration: (>60)"
"12","Florida","2010","6%","","39",,"Concentration: (not-detected)"
"12","Florida","2011","87%","","583",,"Concentration: (0-<=60)"
"12","Florida","2011","8%","","56",,"Concentration: (>60)"
"12","Florida","2011","5%","","33",,"Concentration: (not-detected)"
"12","Florida","2012","83%","","1,276",,"Concentration: (0-<=60)"
"12","Florida","2012","5%","","77",,"Concentration: (>60)"
