StateFIPS,State,Year,Value,Data Comment,Number of CWS,,Concentration
4,Arizona,2006,3%,,8,,Concentration: (0-<=5)
4,Arizona,2006,0%,,1,,Concentration: (>5)
4,Arizona,2006,97%,,270,,Concentration: (not-detected)
4,Arizona,2007,3%,,6,,Concentration: (0-<=5)
4,Arizona,2007,0%,,1,,Concentration: (>5)
4,Arizona,2007,97%,,212,,Concentration: (not-detected)
4,Arizona,2008,3%,,6,,Concentration: (0-<=5)
4,Arizona,2008,0%,,0,,Concentration: (>5)
4,Arizona,2008,97%,,215,,Concentration: (not-detected)
4,Arizona,2009,2%,,5,,Concentration: (0-<=5)
4,Arizona,2009,0%,,0,,Concentration: (>5)
4,Arizona,2009,98%,,223,,Concentration: (not-detected)
4,Arizona,2010,3%,,9,,Concentration: (0-<=5)
4,Arizona,2010,0%,,0,,Concentration: (>5)
4,Arizona,2010,97%,,349,,Concentration: (not-detected)
4,Arizona,2011,2%,,6,,Concentration: (0-<=5)
4,Arizona,2011,0%,,0,,Concentration: (>5)
4,Arizona,2011,98%,,251,,Concentration: (not-detected)
4,Arizona,2012,3%,,7,,Concentration: (0-<=5)
4,Arizona,2012,0%,,0,,Concentration: (>5)
4,Arizona,2012,97%,,236,,Concentration: (not-detected)
4,Arizona,2013,4%,,9,,Concentration: (0-<=5)
4,Arizona,2013,0%,,0,,Concentration: (>5)
4,Arizona,2013,96%,,230,,Concentration: (not-detected)
4,Arizona,2014,2%,,5,,Concentration: (0-<=5)
4,Arizona,2014,0%,,0,,Concentration: (>5)
4,Arizona,2014,98%,,218,,Concentration: (not-detected)
4,Arizona,2015,3%,,6,,Concentration: (0-<=5)
4,Arizona,2015,0%,,0,,Concentration: (>5)
4,Arizona,2015,97%,,227,,Concentration: (not-detected)
4,Arizona,2016,2%,,7,,Concentration: (0-<=5)
4,Arizona,2016,0%,,0,,Concentration: (>5)
4,Arizona,2016,98%,,441,,Concentration: (not-detected)
4,Arizona,2017,2%,,7,,Concentration: (0-<=5)
4,Arizona,2017,0%,,1,,Concentration: (>5)
4,Arizona,2017,98%,,319,,Concentration: (not-detected)
4,Arizona,2018,2%,,8,,Concentration: (0-<=5)
4,Arizona,2018,0%,,1,,Concentration: (>5)
4,Arizona,2018,97%,,326,,Concentration: (not-detected)
4,Arizona,2019,3%,,11,,Concentration: (0-<=5)
4,Arizona,2019,0%,,0,,Concentration: (>5)
4,Arizona,2019,97%,,389,,Concentration: (not-detected)
4,Arizona,2020,3%,,9,,Concentration: (0-<=5)
4,Arizona,2020,0%,,0,,Concentration: (>5)
4,Arizona,2020,97%,,338,,Concentration: (not-detected)
4,Arizona,2021,2%,,7,,Concentration: (0-<=5)
4,Arizona,2021,0%,,0,,Concentration: (>5)
4,Arizona,2021,98%,,345,,Concentration: (not-detected)
4,Arizona,2022,1%,,6,,Concentration: (0-<=5)
4,Arizona,2022,0%,,0,,Concentration: (>5)
4,Arizona,2022,99%,,421,,Concentration: (not-detected)
4,Arizona,2023,2%,,6,,Concentration: (0-<=5)
4,Arizona,2023,0%,,1,,Concentration: (>5)
4,Arizona,2023,98%,,368,,Concentration: (not-detected)
6,California,1999,11%,,71,,Concentration: (0-<=5)
6,California,1999,1%,,4,,Concentration: (>5)
6,California,1999,89%,,587,,Concentration: (not-detected)
6,California,2000,6%,,42,,Concentration: (0-<=5)
6,California,2000,1%,,8,,Concentration: (>5)
6,California,2000,93%,,625,,Concentration: (not-detected)
6,California,2001,5%,,44,,Concentration: (0-<=5)
6,California,2001,1%,,7,,Concentration: (>5)
6,California,2001,94%,,794,,Concentration: (not-detected)
6,California,2002,6%,,54,,Concentration: (0-<=5)
6,California,2002,1%,,7,,Concentration: (>5)
6,California,2002,93%,,783,,Concentration: (not-detected)
6,California,2003,8%,,63,,Concentration: (0-<=5)
6,California,2003,0%,,3,,Concentration: (>5)
6,California,2003,92%,,772,,Concentration: (not-detected)
6,California,2004,9%,,75,,Concentration: (0-<=5)
6,California,2004,0%,,4,,Concentration: (>5)
6,California,2004,91%,,757,,Concentration: (not-detected)
6,California,2005,9%,,78,,Concentration: (0-<=5)
6,California,2005,1%,,9,,Concentration: (>5)
6,California,2005,90%,,817,,Concentration: (not-detected)
6,California,2006,5%,,39,,Concentration: (0-<=5)
6,California,2006,2%,,14,,Concentration: (>5)
6,California,2006,94%,,777,,Concentration: (not-detected)
6,California,2007,8%,,70,,Concentration: (0-<=5)
6,California,2007,2%,,14,,Concentration: (>5)
6,California,2007,90%,,774,,Concentration: (not-detected)
6,California,2008,8%,,74,,Concentration: (0-<=5)
6,California,2008,2%,,15,,Concentration: (>5)
6,California,2008,91%,,867,,Concentration: (not-detected)
6,California,2009,9%,,74,,Concentration: (0-<=5)
6,California,2009,1%,,10,,Concentration: (>5)
6,California,2009,90%,,753,,Concentration: (not-detected)
6,California,2010,9%,,78,,Concentration: (0-<=5)
6,California,2010,2%,,20,,Concentration: (>5)
6,California,2010,89%,,792,,Concentration: (not-detected)
6,California,2011,6%,,59,,Concentration: (0-<=5)
6,California,2011,1%,,13,,Concentration: (>5)
6,California,2011,92%,,868,,Concentration: (not-detected)
6,California,2012,8%,,67,,Concentration: (0-<=5)
6,California,2012,2%,,15,,Concentration: (>5)
6,California,2012,90%,,778,,Concentration: (not-detected)
6,California,2013,8%,,44,,Concentration: (0-<=5)
6,California,2013,1%,,4,,Concentration: (>5)
6,California,2013,91%,,494,,Concentration: (not-detected)
6,California,2014,6%,,37,,Concentration: (0-<=5)
6,California,2014,1%,,7,,Concentration: (>5)
6,California,2014,93%,,568,,Concentration: (not-detected)
6,California,2015,7%,,35,,Concentration: (0-<=5)
6,California,2015,0%,,2,,Concentration: (>5)
6,California,2015,93%,,489,,Concentration: (not-detected)
6,California,2016,6%,,35,,Concentration: (0-<=5)
6,California,2016,1%,,4,,Concentration: (>5)
6,California,2016,94%,,579,,Concentration: (not-detected)
6,California,2017,6%,,34,,Concentration: (0-<=5)
6,California,2017,1%,,5,,Concentration: (>5)
6,California,2017,93%,,538,,Concentration: (not-detected)
6,California,2018,4%,,23,,Concentration: (0-<=5)
6,California,2018,1%,,3,,Concentration: (>5)
6,California,2018,96%,,565,,Concentration: (not-detected)
6,California,2019,4%,,22,,Concentration: (0-<=5)
6,California,2019,1%,,5,,Concentration: (>5)
