"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2014","567,439","",
"01","Alabama","2015","475,233","",
"01","Alabama","2016","427,972","",
"01","Alabama","2017","438,049","",
"01","Alabama","2018","470,052","",
"01","Alabama","2019","457,718","",
"01","Alabama","2020","460,936","",
"02","Alaska","2014","123,604","",
"02","Alaska","2015","105,982","",
"02","Alaska","2016","100,787","",
"02","Alaska","2017","94,727","",
"02","Alaska","2018","88,519","",
"02","Alaska","2019","79,260","",
"02","Alaska","2020","82,020","",
"04","Arizona","2014","886,514","",
"04","Arizona","2015","710,610","",
"04","Arizona","2016","669,819","",
"04","Arizona","2017","685,974","",
"04","Arizona","2018","737,852","",
"04","Arizona","2019","789,960","",
"04","Arizona","2020","798,490","",
"05","Arkansas","2014","336,619","",
"05","Arkansas","2015","269,055","",
"05","Arkansas","2016","228,342","",
"05","Arkansas","2017","226,179","",
"05","Arkansas","2018","233,441","",
"05","Arkansas","2019","261,617","",
"05","Arkansas","2020","244,865","",
"06","California","2014","4,655,102","",
"06","California","2015","3,234,373","",
"06","California","2016","2,787,305","",
"06","California","2017","2,740,078","",
"06","California","2018","2,772,644","",
"06","California","2019","2,947,957","",
"06","California","2020","2,702,033","",
"08","Colorado","2014","535,569","",
"08","Colorado","2015","428,602","",
"08","Colorado","2016","401,879","",
"08","Colorado","2017","410,250","",
"08","Colorado","2018","419,456","",
"08","Colorado","2019","453,100","",
"08","Colorado","2020","478,483","",
"09","Connecticut","2014","236,861","",
"09","Connecticut","2015","201,842","",
"09","Connecticut","2016","168,258","",
"09","Connecticut","2017","182,122","",
"09","Connecticut","2018","178,690","",
"09","Connecticut","2019","201,146","",
"09","Connecticut","2020","153,667","",
"10","Delaware","2014","70,640","",
"10","Delaware","2015","52,951","",
"10","Delaware","2016","51,494","",
"10","Delaware","2017","46,586","",
"10","Delaware","2018","51,804","",
"10","Delaware","2019","60,910","",
"10","Delaware","2020","57,517","",
"11","District of Columbia","2014","32,799","",
"11","District of Columbia","2015","24,198","",
"11","District of Columbia","2016","23,274","",
"11","District of Columbia","2017","24,833","",
"11","District of Columbia","2018","20,753","",
"11","District of Columbia","2019","23,635","",
"11","District of Columbia","2020","21,648","",
"12","Florida","2014","3,176,171","",
"12","Florida","2015","2,602,192","",
"12","Florida","2016","2,478,194","",
"12","Florida","2017","2,615,963","",
"12","Florida","2018","2,673,659","",
"12","Florida","2019","2,716,165","",
"12","Florida","2020","2,576,265","",
"13","Georgia","2014","1,549,301","",
"13","Georgia","2015","1,366,843","",
"13","Georgia","2016","1,295,994","",
"13","Georgia","2017","1,361,978","",
"13","Georgia","2018","1,398,968","",
"13","Georgia","2019","1,387,604","",
"13","Georgia","2020","1,343,754","",
"15","Hawaii","2014","69,936","",
"15","Hawaii","2015","55,299","",
"15","Hawaii","2016","48,641","",
"15","Hawaii","2017","53,025","",
"15","Hawaii","2018","53,377","",
"15","Hawaii","2019","53,289","",
"15","Hawaii","2020","54,122","",
"16","Idaho","2014","216,276","",
"16","Idaho","2015","177,426","",
"16","Idaho","2016","165,164","",
"16","Idaho","2017","168,400","",
"16","Idaho","2018","190,472","",
"16","Idaho","2019","187,336","",
"16","Idaho","2020","166,803","",
"17","Illinois","2014","1,211,871","",
"17","Illinois","2015","885,019","",
"17","Illinois","2016","801,267","",
"17","Illinois","2017","837,890","",
"17","Illinois","2018","853,809","",
"17","Illinois","2019","907,738","",
"17","Illinois","2020","857,511","",
"18","Indiana","2014","768,504","",
"18","Indiana","2015","621,372","",
"18","Indiana","2016","518,435","",
"18","Indiana","2017","526,667","",
"18","Indiana","2018","532,695","",
"18","Indiana","2019","565,717","",
"18","Indiana","2020","489,880","",
"19","Iowa","2014","185,413","",
"19","Iowa","2015","149,178","",
"19","Iowa","2016","126,746","",
"19","Iowa","2017","139,424","",
"19","Iowa","2018","142,584","",
"19","Iowa","2019","144,986","",
"19","Iowa","2020","145,071","",
"20","Kansas","2014","284,342","",
"20","Kansas","2015","253,816","",
"20","Kansas","2016","239,482","",
"20","Kansas","2017","243,306","",
"20","Kansas","2018","241,000","",
"20","Kansas","2019","254,180","",
"20","Kansas","2020","244,212","",
"21","Kentucky","2014","360,275","",
"21","Kentucky","2015","258,239","",
"21","Kentucky","2016","218,900","",
"21","Kentucky","2017","231,153","",
"21","Kentucky","2018","241,947","",
"21","Kentucky","2019","275,158","",
"21","Kentucky","2020","247,848","",
"22","Louisiana","2014","661,811","",
"22","Louisiana","2015","538,466","",
"22","Louisiana","2016","460,244","",
"22","Louisiana","2017","372,802","",
"22","Louisiana","2018","354,948","",
"22","Louisiana","2019","391,933","",
"22","Louisiana","2020","357,209","",
"23","Maine","2014","131,550","",
"23","Maine","2015","108,771","",
"23","Maine","2016","105,736","",
"23","Maine","2017","106,863","",
"23","Maine","2018","106,052","",
"23","Maine","2019","104,963","",
"23","Maine","2020","95,295","",
"24","Maryland","2014","450,280","",
"24","Maryland","2015","374,972","",
"24","Maryland","2016","353,248","",
