"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2000","13.48","",
"01","Alabama","2001","11.95","",
"01","Alabama","2002","9.84","",
"01","Alabama","2003","9.19","",
"01","Alabama","2004","7.73","",
"01","Alabama","2005","8.47","",
"01","Alabama","2006","11.88","",
"01","Alabama","2007","12.60","",
"01","Alabama","2008","12.25","",
"01","Alabama","2009","13.54","",
"01","Alabama","2010","14.08","",
"01","Alabama","2011","12.88","",
"01","Alabama","2012","11.38","",
"01","Alabama","2013","9.92","",
"01","Alabama","2014","6.28","",
"01","Alabama","2015","6.21","",
"01","Alabama","2016","5.37","",
"01","Alabama","2017","5.31","",
"02","Alaska","2000","0.16","Unstable",
"02","Alaska","2001","3.00","",
"02","Alaska","2002","8.10","",
"02","Alaska","2003","5.09","",
"02","Alaska","2004","6.98","",
"02","Alaska","2005","9.30","",
"02","Alaska","2006","13.18","",
"02","Alaska","2007","13.67","",
"02","Alaska","2008","12.36","",
"02","Alaska","2009","11.16","",
"02","Alaska","2010","11.76","",
"02","Alaska","2011","11.21","",
"02","Alaska","2012","7.25","",
"02","Alaska","2013","8.42","",
"02","Alaska","2014","7.33","",
"02","Alaska","2015","8.54","",
"02","Alaska","2016","8.63","",
"02","Alaska","2017","6.89","",
"04","Arizona","2000","11.61","",
"04","Arizona","2001","12.55","",
"04","Arizona","2002","11.62","",
"04","Arizona","2003","10.04","",
"04","Arizona","2004","8.88","",
"04","Arizona","2005","8.49","",
"04","Arizona","2006","13.34","",
"04","Arizona","2007","13.59","",
"04","Arizona","2008","13.52","",
"04","Arizona","2009","13.34","",
"04","Arizona","2010","13.03","",
"04","Arizona","2011","13.33","",
"04","Arizona","2012","8.85","",
"04","Arizona","2013","6.98","",
"04","Arizona","2014","6.61","",
"04","Arizona","2015","6.32","",
"04","Arizona","2016","6.15","",
"04","Arizona","2017","5.96","",
"05","Arkansas","2000","6.98","",
"05","Arkansas","2001","6.58","",
"05","Arkansas","2002","6.36","",
"05","Arkansas","2003","6.79","",
"05","Arkansas","2004","5.06","",
"05","Arkansas","2005","7.12","",
"05","Arkansas","2006","9.67","",
"05","Arkansas","2007","10.64","",
"05","Arkansas","2008","12.25","",
"05","Arkansas","2009","12.46","",
"05","Arkansas","2010","10.03","",
"05","Arkansas","2011","10.17","",
"05","Arkansas","2012","6.92","",
"05","Arkansas","2013","6.12","",
"05","Arkansas","2014","7.08","",
"05","Arkansas","2015","5.68","",
"05","Arkansas","2016","5.05","",
"05","Arkansas","2017","6.36","",
"06","California","2000","8.05","",
"06","California","2001","7.42","",
"06","California","2002","7.26","",
"06","California","2003","6.10","",
"06","California","2004","6.11","",
"06","California","2005","6.16","",
"06","California","2006","7.12","",
"06","California","2007","7.27","",
"06","California","2008","6.63","",
"06","California","2009","7.12","",
"06","California","2010","7.78","",
"06","California","2011","7.78","",
"06","California","2012","5.99","",
"06","California","2013","4.98","",
"06","California","2014","5.20","",
"06","California","2015","4.93","",
"06","California","2016","4.61","",
"06","California","2017","4.61","",
"08","Colorado","2000","5.82","",
"08","Colorado","2001","6.94","",
"08","Colorado","2002","6.93","",
"08","Colorado","2003","6.62","",
"08","Colorado","2004","7.37","",
"08","Colorado","2005","6.76","",
"08","Colorado","2006","10.15","",
"08","Colorado","2007","11.05","",
"08","Colorado","2008","10.00","",
"08","Colorado","2009","11.02","",
"08","Colorado","2010","10.66","",
"08","Colorado","2011","9.93","",
"08","Colorado","2012","6.44","",
"08","Colorado","2013","3.80","",
"08","Colorado","2014","4.32","",
"08","Colorado","2015","4.19","",
"08","Colorado","2016","3.94","",
"08","Colorado","2017","3.82","",
"09","Connecticut","2000","11.17","",
"09","Connecticut","2001","10.46","",
"09","Connecticut","2002","11.85","",
"09","Connecticut","2003","9.36","",
"09","Connecticut","2004","10.81","",
"09","Connecticut","2005","8.98","",
"09","Connecticut","2006","11.49","",
"09","Connecticut","2007","11.65","",
